Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS_plus,TB,GDP,HBP,SH,SF,IBB
1936,21,NYY,AL,138,669,637,132,206,44,15,29,125,4,0,24,39,0.323,0.352,0.576,0.928,128,367,,4,3,,
1937,22,NYY,AL,151,692,621,151,215,35,15,46,167,3,0,64,37,0.346,0.412,0.673,1.085,166,418,,5,2,,
1938,23,NYY,AL,145,660,599,129,194,32,13,32,140,6,1,59,21,0.324,0.386,0.581,0.967,139,348,,2,0,,
1939,24,NYY,AL,120,524,462,108,176,32,6,30,126,3,0,52,20,0.381,0.448,0.671,1.119,184,310,11,4,6,,
1940,25,NYY,AL,132,572,508,93,179,28,9,31,133,1,2,61,30,0.352,0.425,0.626,1.051,173,318,16,3,0,,
1941,26,NYY,AL,139,622,541,122,193,43,11,30,125,4,2,76,13,0.357,0.44,0.643,1.083,184,348,6,4,0,,
1942,27,NYY,AL,154,680,610,123,186,29,13,21,114,4,2,68,36,0.305,0.376,0.498,0.875,147,304,9,2,0,,
1943,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1944,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1945,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1946,31,NYY,AL,132,567,503,81,146,20,8,25,95,1,0,59,24,0.29,0.367,0.511,0.878,142,257,13,2,3,,
1947,32,NYY,AL,141,601,534,97,168,31,10,20,97,3,0,64,32,0.315,0.391,0.522,0.913,154,279,14,3,0,,
1948,33,NYY,AL,153,669,594,110,190,26,11,39,155,1,1,67,30,0.32,0.396,0.598,0.994,163,355,20,8,0,,
1949,34,NYY,AL,76,329,272,58,94,14,6,14,67,0,1,55,18,0.346,0.459,0.596,1.055,178,162,11,2,0,,
1950,35,NYY,AL,139,606,525,114,158,33,10,32,122,0,0,80,33,0.301,0.394,0.585,0.979,151,307,14,1,0,,
1951,36,NYY,AL,116,482,415,72,109,22,4,12,71,0,0,61,36,0.263,0.365,0.422,0.787,116,175,16,6,0,,
