
Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
1905,18,DET,AL,41,164,150,19,36,6,0,1,15,2,,10,23,.240,.288,.300,.588,86,45,,0,4,,,O,
1906,19,DET,AL,98,394,358,45,113,15,5,1,34,23,,19,40,.316,.355,.394,.749,132,141,,3,14,,,O,
1907,20,DET,AL,150,642,605,97,212,28,14,5,119,53,,24,55,.350,.380,.468,.848,167,283,,5,8,,,*O,
1908,21,DET,AL,150,635,581,88,188,36,20,4,108,39,,34,42,.324,.367,.475,.842,169,276,,6,14,,,*O,
1909,22,DET,AL,156,651,573,116,216,33,10,9,107,76,,48,45,.377,.431,.517,.947,193,296,,6,24,,,*O,
1910,23,DET,AL,140,590,506,106,194,35,13,8,91,65,,64,46,.383,.456,.551,1.008,206,279,,4,16,,,*O,
1911,24,DET,AL,146,654,591,147,248,47,24,8,127,83,,44,43,.420,.467,.621,1.088,196,367,,8,11,,,*O,MVP-1
1912,25,DET,AL,140,609,553,120,226,30,23,7,83,61,34,43,30,.409,.456,.584,1.040,200,323,,5,8,,,*O,MVP-7
1913,26,DET,AL,122,501,428,70,167,18,16,4,67,51,,58,31,.390,.467,.535,1.002,196,229,,4,11,,,*O/4,MVP-20
1914,27,DET,AL,98,415,345,69,127,22,11,2,57,35,17,57,22,.368,.466,.513,.979,190,177,,6,6,,,8O,MVP-14
1915,28,DET,AL,156,701,563,144,208,31,13,3,99,96,38,118,43,.369,.486,.487,.973,185,274,,10,9,,,*8O,
1916,29,DET,AL,145,637,542,113,201,31,10,5,68,68,24,78,39,.371,.452,.493,.944,179,267,,2,14,,,*8O/37,
1917,30,DET,AL,152,672,588,107,225,44,24,6,102,55,,61,34,.383,.444,.570,1.014,209,335,,4,16,,,*O89,
1918,31,DET,AL,111,474,421,81,161,19,14,3,62,34,,41,21,.382,.440,.515,.955,194,217,,2,9,,,*O83/1459,
1919,32,DET,AL,124,548,497,92,191,36,13,1,67,28,,38,22,.384,.429,.515,.944,166,256,,1,9,,,*8O,
1920,33,DET,AL,112,495,428,87,143,28,8,2,63,15,10,58,28,.334,.416,.451,.867,132,193,,2,7,,,*8O,
1921,34,DET,AL,128,582,507,124,197,37,16,12,101,22,15,56,19,.389,.452,.596,1.048,166,302,,3,15,,,*8O,
1922,35,DET,AL,137,613,526,99,211,42,16,4,99,9,13,55,24,.401,.462,.565,1.026,169,297,,4,27,,,*8O,
1923,36,DET,AL,145,648,556,103,189,40,7,6,88,9,10,66,14,.340,.413,.469,.882,134,261,,3,22,,,*8O,
1924,37,DET,AL,155,727,625,114,211,38,10,4,79,23,14,85,18,.338,.418,.450,.867,125,281,,1,15,,,*8O,
1925,38,DET,AL,121,492,415,97,157,31,12,12,102,13,9,65,12,.378,.468,.598,1.066,171,248,,5,5,,,*O8/91,
1926,39,DET,AL,79,273,233,48,79,18,5,4,62,9,4,26,2,.339,.408,.511,.918,137,119,,1,13,,,O87/9,
1927,40,PHA,AL,133,574,490,104,175,32,7,5,93,22,16,67,12,.357,.440,.482,.921,134,236,,5,12,,,*O98,
1928,41,PHA,AL,95,393,353,54,114,27,4,1,40,6,8,34,16,.323,.389,.431,.819,112,152,,4,2,,,O9,
24 Yrs,24 Yrs,24 Yrs,24 Yrs,3034,13084,11434,2244,4189,724,295,117,1933,897,212,1249,681,.366,.433,.512,.945,168,5854,,94,291,,,,
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,162,699,611,120,224,39,16,6,103,48,,67,36,.366,.433,.512,.945,168,313,,5,16,,,,
,,,,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
DET (22 yrs),DET (22 yrs),DET (22 yrs),DET (22 yrs),2806,12117,10591,2086,3900,665,284,111,1800,869,188,1148,653,.368,.434,.516,.950,171,5466,,85,277,,,,
PHA (2 yrs),PHA (2 yrs),PHA (2 yrs),PHA (2 yrs),228,967,843,158,289,59,11,6,133,28,24,101,28,.343,.419,.460,.879,125,388,,9,14,,,,
