
Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
1951,20,NYG,NL,121,523,464,59,127,22,5,20,68,7,4,57,60,.274,.356,.472,.828,120,219,11,2,1,,,*8O,RoY-1
1952,21,NYG,NL,34,144,127,17,30,2,4,4,23,4,1,16,17,.236,.326,.409,.736,102,52,2,1,0,,,8O,
1953,,Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service)
1954 ★,23,NYG,NL,151,641,565,119,195,33,13,41,110,8,5,66,57,.345,.411,.667,1.078,175,377,12,2,0,7,,*8,ASMVP-1
1955 ★,24,NYG,NL,152,670,580,123,185,18,13,51,127,24,4,79,60,.319,.400,.659,1.059,174,382,12,4,0,7,13,*8,ASMVP-4
1956 ★,25,NYG,NL,152,651,578,101,171,27,8,36,84,40,10,68,65,.296,.369,.557,.926,146,322,16,1,0,3,20,*8,ASMVP-17
1957 ★,26,NYG,NL,152,669,585,112,195,26,20,35,97,38,19,76,62,.333,.407,.626,1.033,173,366,14,1,0,6,15,*8,ASMVP-4GG
1958 ★,27,SFG,NL,152,685,600,121,208,33,11,29,96,31,6,78,56,.347,.419,.583,1.002,165,350,11,1,0,6,12,*8,ASMVP-2GG
1959 ★,28,SFG,NL,151,649,575,125,180,43,5,34,104,27,4,65,58,.313,.381,.583,.964,156,335,11,2,0,6,9,*8,ASMVP-6GG
1960 ★,29,SFG,NL,153,669,595,107,190,29,12,29,103,25,10,61,70,.319,.381,.555,.936,160,330,15,4,0,9,11,*8,ASMVP-3GG
1961 ★,30,SFG,NL,154,659,572,129,176,32,3,40,123,18,9,81,77,.308,.393,.584,.977,160,334,14,2,0,4,15,*8,ASMVP-6GG
1962 ★,31,SFG,NL,162,706,621,130,189,36,5,49,141,18,2,78,85,.304,.384,.615,.999,165,382,19,4,0,3,11,*8,ASMVP-2GG
1963 ★,32,SFG,NL,157,671,596,115,187,32,7,38,103,8,3,66,83,.314,.380,.582,.962,175,347,15,2,0,7,5,*8/6,ASMVP-5GG
1964 ★,33,SFG,NL,157,665,578,121,171,21,9,47,111,19,5,82,72,.296,.383,.607,.990,172,351,11,1,1,3,13,*8/356,ASMVP-6GG
1965 ★,34,SFG,NL,157,638,558,118,177,21,3,52,112,9,4,76,71,.317,.398,.645,1.043,185,360,11,0,2,2,16,*8/97,ASMVP-1GG
