
Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
1897,23,LOU,NL,62,263,242,38,81,18,4,2,39,20,,15,14,.335,.376,.467,.843,125,113,,1,5,,,O/4,
1898,24,LOU,NL,151,635,588,80,176,29,3,10,105,27,,31,20,.299,.341,.410,.751,115,241,,6,10,,,354,
1899,25,LOU,NL,148,630,575,100,196,45,13,7,114,37,,40,36,.341,.395,.501,.895,145,288,,11,4,,,5O/43,
1900,26,PIT,NL,135,580,527,107,201,45,22,4,100,38,,41,17,.381,.434,.573,1.007,176,302,,8,4,,,*O/5431,
1901,27,PIT,NL,140,619,549,101,194,37,11,6,126,49,,53,39,.353,.417,.494,.911,159,271,,7,10,,,6O5/4,
1902,28,PIT,NL,136,599,534,105,176,30,16,3,91,42,,43,51,.330,.394,.463,.857,162,247,,14,8,,,O63/41,
1903,29,PIT,NL,129,571,512,97,182,30,19,5,101,46,,44,17,.355,.414,.518,.931,160,265,,7,8,,,*6O/3,
1904,30,PIT,NL,132,558,490,97,171,44,14,4,75,53,,59,44,.349,.423,.520,.944,188,255,,4,5,,,*6/O34,
1905,31,PIT,NL,147,616,548,114,199,32,14,6,101,57,,54,53,.363,.427,.505,.932,175,277,,7,7,,,*6/O,
1906,32,PIT,NL,142,590,516,103,175,38,9,2,71,53,,58,31,.339,.416,.459,.875,168,237,,10,6,,,*6/O5,
1907,33,PIT,NL,142,580,515,98,180,38,14,6,82,61,,46,40,.350,.408,.513,.921,187,264,,5,14,,,*6/3,
1908,34,PIT,NL,151,641,568,100,201,39,19,10,109,53,,54,22,.354,.415,.542,.957,205,308,,5,14,,,*6,
1909,35,PIT,NL,137,591,495,92,168,39,10,5,100,35,,66,24,.339,.420,.489,.909,177,242,,3,27,,,*6/O,
1910,36,PIT,NL,150,640,556,90,178,34,8,4,81,24,,59,47,.320,.390,.432,.822,133,240,,5,20,,,*63/4,
1911,37,PIT,NL,130,558,473,87,158,23,16,9,89,20,,67,34,.334,.423,.507,.930,156,240,,6,12,,,63/O,MVP-3
1912,38,PIT,NL,145,634,558,91,181,35,20,7,101,26,,59,38,.324,.395,.496,.891,144,277,,6,11,,,*6,MVP-2
1913,39,PIT,NL,114,454,413,51,124,18,4,3,56,21,11,26,40,.300,.349,.385,.734,114,159,,5,10,,,*6,MVP-8
1914,40,PIT,NL,150,616,552,60,139,15,9,1,50,23,,51,51,.252,.317,.317,.634,94,175,,2,11,,,*65/3,
1915,41,PIT,NL,156,625,566,68,155,32,17,6,78,22,15,39,64,.274,.325,.422,.747,127,239,,4,16,,,*643,
1916,42,PIT,NL,123,485,432,45,124,15,9,1,39,11,,34,36,.287,.350,.370,.721,121,160,,8,10,,,63/4,
1917,43,PIT,NL,74,263,230,15,61,7,1,0,24,5,,24,17,.265,.337,.304,.642,95,70,,1,9,,,35/46,
21 Yrs,21 Yrs,21 Yrs,21 Yrs,2794,11748,10439,1739,3420,643,252,101,1732,723,26,963,735,.328,.391,.467,.858,151,4870,,125,221,,,,
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,162,681,605,101,198,37,15,6,100,42,,56,43,.328,.391,.467,.858,151,282,,7,13,,,,
,,,,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
PIT (18 yrs),PIT (18 yrs),PIT (18 yrs),PIT (18 yrs),2433,10220,9034,1521,2967,551,232,82,1474,639,26,877,665,.328,.394,.468,.862,154,4228,,107,202,,,,
LOU (3 yrs),LOU (3 yrs),LOU (3 yrs),LOU (3 yrs),361,1528,1405,218,453,92,20,19,258,84,,86,70,.322,.369,.457,.826,129,642,,18,19,,,,
