Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS_plus,TB,GDP,HBP,SH,SF,IBB
1939,20,BOS,AL,149,675,565,131,185,44,11,31,145,2,1,107,64,0.327,0.436,0.609,1.045,160,344,10,2,3,,
1940,21,BOS,AL,144,661,561,134,193,43,14,23,113,4,4,96,54,0.344,0.442,0.594,1.036,161,333,13,3,1,,
1941,22,BOS,AL,143,606,456,135,185,33,3,37,120,2,4,147,27,0.406,0.553,0.735,1.287,235,335,10,3,0,,
1942,23,BOS,AL,150,671,522,141,186,34,5,36,137,3,2,145,51,0.356,0.499,0.648,1.147,216,338,12,4,0,,
1946,27,BOS,AL,150,672,514,142,176,37,8,38,123,0,0,156,44,0.342,0.497,0.667,1.164,215,343,12,2,0,,
1947,28,BOS,AL,156,692,528,125,181,40,9,32,114,0,1,162,47,0.343,0.499,0.634,1.133,205,335,10,2,1,,
1948,29,BOS,AL,137,638,509,124,188,44,3,25,127,4,0,126,41,0.369,0.497,0.615,1.112,189,313,10,3,0,,
1949,30,BOS,AL,155,730,566,150,194,39,3,43,159,1,1,162,48,0.343,0.49,0.65,1.141,191,368,22,2,0,,
1950,31,BOS,AL,89,416,334,82,106,24,1,28,97,3,0,82,21,0.317,0.452,0.647,1.099,168,216,12,0,0,,
1951,32,BOS,AL,148,675,531,109,169,28,4,30,126,1,1,144,45,0.318,0.464,0.556,1.019,164,295,10,0,0,,
1952,33,BOS,AL,6,12,10,2,4,0,1,1,3,0,0,2,2,0.4,0.5,0.9,1.4,273,9,0,0,0,,
1953,34,BOS,AL,37,110,91,17,37,6,0,13,34,0,1,19,10,0.407,0.509,0.901,1.41,268,82,1,0,0,,
1954,35,BOS,AL,117,526,386,93,133,23,1,29,89,0,0,136,32,0.345,0.513,0.635,1.148,201,245,10,1,0,3,
1955,36,BOS,AL,98,416,320,77,114,21,3,28,83,2,0,91,24,0.356,0.496,0.703,1.2,209,225,8,2,0,4,17
1956,37,BOS,AL,136,503,400,71,138,28,2,24,82,0,0,102,39,0.345,0.479,0.605,1.084,172,242,13,1,0,0,11
1957,38,BOS,AL,132,547,420,96,163,28,1,38,87,0,1,119,43,0.388,0.526,0.731,1.257,233,307,11,5,0,2,33
1958,39,BOS,AL,129,517,411,81,135,23,2,26,85,1,0,98,49,0.328,0.458,0.584,1.042,179,240,19,4,0,4,12
1959,40,BOS,AL,103,331,272,32,69,15,0,10,43,0,0,52,27,0.254,0.372,0.419,0.791,114,114,7,2,0,5,6
1960,41,BOS,AL,113,390,310,56,98,15,0,29,72,1,1,75,41,0.316,0.451,0.645,1.096,190,200,7,3,0,2,7
