Player,Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,WAR
Babe_Ruth,1914,19,BOS,AL,5,10,10,1,2,1,0,0,0,0,0,0,4,0.2,0.2,0.3,0.5,49,3,,0,0,,,0
Babe_Ruth,1915,20,BOS,AL,42,103,92,16,29,10,1,4,20,0,0,9,23,0.315,0.376,0.576,0.952,188,53,,0,2,,,1.8
Babe_Ruth,1916,21,BOS,AL,67,152,136,18,37,5,3,3,16,0,,10,23,0.272,0.322,0.419,0.741,121,57,,0,4,,,1.7
Babe_Ruth,1917,22,BOS,AL,52,142,123,14,40,6,3,2,14,0,,12,18,0.325,0.385,0.472,0.857,162,58,,0,7,,,2.1
Babe_Ruth,1918,23,BOS,AL,95,382,317,50,95,26,11,11,61,6,,58,58,0.3,0.411,0.555,0.966,192,176,,2,3,,,5.1
Babe_Ruth,1919,24,BOS,AL,130,543,432,103,139,34,12,29,113,7,,101,58,0.322,0.456,0.657,1.114,217,284,,6,3,,,9.4
Babe_Ruth,1920,25,NYY,AL,142,616,458,158,172,36,9,54,135,14,14,150,80,0.376,0.532,0.847,1.379,255,388,,3,5,,,11.9
Babe_Ruth,1921,26,NYY,AL,152,693,540,177,204,44,16,59,168,17,13,145,81,0.378,0.512,0.846,1.359,238,457,,4,4,,,12.9
Babe_Ruth,1922,27,NYY,AL,110,496,406,94,128,24,8,35,96,2,5,84,80,0.315,0.434,0.672,1.106,182,273,,1,4,,,6.3
Babe_Ruth,1923,28,NYY,AL,152,697,522,151,205,45,13,41,130,17,21,170,93,0.393,0.545,0.764,1.309,239,399,,4,3,,,14.1
Babe_Ruth,1924,29,NYY,AL,153,681,529,143,200,39,7,46,124,9,13,142,81,0.378,0.513,0.739,1.252,220,391,,4,6,,,11.7
Babe_Ruth,1925,30,NYY,AL,98,426,359,61,104,12,2,25,67,2,4,59,68,0.29,0.393,0.543,0.936,137,195,,2,6,,,3.5
Babe_Ruth,1926,31,NYY,AL,152,652,495,139,184,30,5,47,153,11,9,144,76,0.372,0.516,0.737,1.253,225,365,,3,10,,,11.5
Babe_Ruth,1927,32,NYY,AL,151,691,540,158,192,29,8,60,165,7,6,137,89,0.356,0.486,0.772,1.258,225,417,,0,14,,,12.4
Babe_Ruth,1928,33,NYY,AL,154,684,536,163,173,29,8,54,146,4,5,137,87,0.323,0.463,0.709,1.172,206,380,,3,8,,,10.1
Babe_Ruth,1929,34,NYY,AL,135,587,499,121,172,26,6,46,154,5,3,72,60,0.345,0.43,0.697,1.128,193,348,,3,13,,,8
Babe_Ruth,1930,35,NYY,AL,145,676,518,150,186,28,9,49,153,10,10,136,61,0.359,0.493,0.732,1.225,211,379,,1,21,,,10.3
Babe_Ruth,1931,36,NYY,AL,145,663,534,149,199,31,3,46,162,5,4,128,51,0.373,0.495,0.7,1.195,218,374,,1,0,,,10.3
Babe_Ruth,1932,37,NYY,AL,133,589,457,120,156,13,5,41,137,2,2,130,62,0.341,0.489,0.661,1.15,201,302,,2,0,,,8.3
Babe_Ruth,1933,38,NYY,AL,137,576,459,97,138,21,3,34,104,4,5,114,90,0.301,0.442,0.582,1.023,176,267,,2,0,,,6.4
Babe_Ruth,1934,39,NYY,AL,125,471,365,78,105,17,4,22,84,1,3,104,63,0.288,0.448,0.537,0.985,160,196,,2,0,,,5.1
Babe_Ruth,1935,40,BSN,NL,28,92,72,13,13,0,0,6,12,0,,20,24,0.181,0.359,0.431,0.789,119,31,2,0,0,,,0.2
