Player,Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS_plus,TB,GDP,HBP,SH,SF,IBB,WAR
Lou_Gehrig,1923,20,NYY,AL,13,29,26,6,11,4,1,1,8,0,0,2,5,0.423,0.464,0.769,1.234,218,20,,0,1,,,0.4
Lou_Gehrig,1924,21,NYY,AL,10,13,12,2,6,1,0,0,5,0,0,1,3,0.5,0.538,0.583,1.122,189,7,,0,0,,,0.2
Lou_Gehrig,1925,22,NYY,AL,126,497,437,73,129,23,10,20,68,6,3,46,49,0.295,0.365,0.531,0.896,127,232,,2,12,,,3.1
Lou_Gehrig,1926,23,NYY,AL,155,696,572,135,179,47,20,16,109,6,5,105,73,0.313,0.42,0.549,0.969,152,314,,1,18,,,6.8
Lou_Gehrig,1927,24,NYY,AL,155,717,584,149,218,52,18,47,173,10,8,109,84,0.373,0.474,0.765,1.24,220,447,,3,21,,,11.8
Lou_Gehrig,1928,25,NYY,AL,154,677,562,139,210,47,13,27,147,4,11,95,69,0.374,0.467,0.648,1.115,193,364,,4,16,,,9.4
Lou_Gehrig,1929,26,NYY,AL,154,694,553,127,166,32,10,35,125,4,3,122,68,0.3,0.431,0.584,1.015,165,323,,5,12,,,7.6
Lou_Gehrig,1930,27,NYY,AL,154,703,581,143,220,42,17,41,173,12,14,101,63,0.379,0.473,0.721,1.194,203,419,,3,18,,,9.6
Lou_Gehrig,1931,28,NYY,AL,155,738,619,163,211,31,15,46,185,17,12,117,56,0.341,0.446,0.662,1.108,194,410,,0,2,,,8.8
Lou_Gehrig,1932,29,NYY,AL,156,708,596,138,208,42,9,34,151,4,11,108,38,0.349,0.451,0.621,1.072,181,370,,3,1,,,7.9
Lou_Gehrig,1933,30,NYY,AL,152,687,593,138,198,41,12,32,140,9,13,92,42,0.334,0.424,0.605,1.03,177,359,,1,1,,,6.9
Lou_Gehrig,1934,31,NYY,AL,154,690,579,128,210,40,6,49,166,9,5,109,31,0.363,0.465,0.706,1.172,206,409,,2,0,,,10.4
Lou_Gehrig,1935,32,NYY,AL,149,673,535,125,176,26,10,30,120,8,7,132,38,0.329,0.466,0.583,1.049,176,312,,5,0,,,8.6
Lou_Gehrig,1936,33,NYY,AL,155,719,579,167,205,37,7,49,152,3,4,130,46,0.354,0.478,0.696,1.174,190,403,,7,3,,,9.1
Lou_Gehrig,1937,34,NYY,AL,157,700,569,138,200,37,9,37,158,4,3,127,49,0.351,0.473,0.643,1.116,176,366,,4,0,,,7.7
Lou_Gehrig,1938,35,NYY,AL,157,689,576,115,170,32,6,29,114,6,1,107,75,0.295,0.41,0.523,0.932,132,301,,5,1,,,4.3
Lou_Gehrig,1939,36,NYY,AL,8,33,28,2,4,0,0,0,1,0,0,5,1,0.143,0.273,0.143,0.416,10,4,2,0,0,,,-0.3
