Player,Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS_plus,TB,GDP,HBP,SH,SF,IBB,,
Barry_Bonds,22 Yrs,22 Yrs,22 Yrs,22 Yrs,2986,12606,9847,2227,2935,601,77,762,1996,514,141,2558,1539,0.298,0.444,0.607,1.051,182,5976,165,106,4,91,688,,
Ty_Cobb,24 Yrs,24 Yrs,24 Yrs,24 Yrs,3034,13084,11434,2244,4189,724,295,117,1933,897,212,1249,681,0.366,0.433,0.512,0.945,168,5854,,94,291,,,,
Joe_DiMaggio,13 Yrs,13 Yrs,13 Yrs,13 Yrs,1736,7673,6821,1390,2214,389,131,361,1537,30,9,790,369,0.325,0.398,0.579,0.977,155,3948,130,46,14,,,,
Lou_Gehrig,17 Yrs,17 Yrs,17 Yrs,17 Yrs,2164,9663,8001,1888,2721,534,163,493,1995,102,100,1508,790,0.34,0.447,0.632,1.08,179,5060,2,45,106,,,,
Mickey_Mantle,18 Yrs,18 Yrs,18 Yrs,18 Yrs,2401,9907,8102,1676,2415,344,72,536,1509,153,38,1733,1710,0.298,0.421,0.557,0.977,172,4511,113,13,14,47,126,,
Willie_Mays,22 Yrs,22 Yrs,22 Yrs,22 Yrs,2992,12496,10881,2062,3283,523,140,660,1903,338,103,1464,1526,0.302,0.384,0.557,0.941,156,6066,251,44,13,91,192,,
Albert_Pujols,15 Yrs,15 Yrs,15 Yrs,15 Yrs,2274,9902,8545,1599,2666,583,16,560,1698,103,41,1165,978,0.312,0.397,0.581,0.977,159,4961,312,98,1,93,296,,
Babe_Ruth,22 Yrs,22 Yrs,22 Yrs,22 Yrs,2503,10622,8399,2174,2873,506,136,714,2214,123,117,2062,1330,0.342,0.474,0.69,1.164,206,5793,2,43,113,,,,
Honus_Wagner,21 Yrs,21 Yrs,21 Yrs,21 Yrs,2794,11748,10439,1739,3420,643,252,101,1732,723,26,963,735,0.328,0.391,0.467,0.858,151,4870,,125,221,,,,
Ted_Williams,19 Yrs,19 Yrs,19 Yrs,19 Yrs,2292,9788,7706,1798,2654,525,71,521,1839,24,17,2021,709,0.344,0.482,0.634,1.116,190,4884,197,39,5,20,86,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player,Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS_plus,TB,GDP,HBP,SH,SF,IBB,,
Barry_Bonds,162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,162,684,534,121,159,33,4,41,108,28,8,139,83,0.298,0.444,0.607,1.051,182,324,9,6,0,5,37,,
Ty_Cobb,162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,162,699,611,120,224,39,16,6,103,48,,67,36,0.366,0.433,0.512,0.945,168,313,,5,16,,,,
Joe_DiMaggio,162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,162,716,637,130,207,36,12,34,143,3,1,74,34,0.325,0.398,0.579,0.977,155,368,,4,1,,,,
Lou_Gehrig,162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,162,723,599,141,204,40,12,37,149,8,7,113,59,0.34,0.447,0.632,1.08,179,379,,3,8,,,,
Mickey_Mantle,162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,162,668,547,113,163,23,5,36,102,10,3,117,115,0.298,0.421,0.557,0.977,172,304,8,1,1,,,,
Willie_Mays,162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,162,677,589,112,178,28,8,36,103,18,6,79,83,0.302,0.384,0.557,0.941,156,328,14,2,1,,,,
Albert_Pujols,162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,162,705,609,114,190,42,1,40,121,7,3,83,70,0.312,0.397,0.581,0.977,159,353,22,7,0,7,21,,
Babe_Ruth,162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,162,687,544,141,186,33,9,46,143,8,,133,86,0.342,0.474,0.69,1.164,206,375,,3,7,,,,
Honus_Wagner,162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,162,681,605,101,198,37,15,6,100,42,,56,43,0.328,0.391,0.467,0.858,151,282,,7,13,,,,
Ted_Williams,162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,162,692,545,127,188,37,5,37,130,2,1,143,50,0.344,0.482,0.634,1.116,190,345,14,3,0,,,,
