Player,Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS_plus,TB,GDP,HBP,SH,SF,IBB
Albert_Pujols,2001,21,STL,NL,161,676,590,112,194,47,4,37,130,1,3,69,93,0.329,0.403,0.61,1.013,157,360,21,9,1,7,6
Albert_Pujols,2002,22,STL,NL,157,675,590,118,185,40,2,34,127,2,4,72,69,0.314,0.394,0.561,0.955,151,331,20,9,0,4,13
Albert_Pujols,2003,23,STL,NL,157,685,591,137,212,51,1,43,124,5,1,79,65,0.359,0.439,0.667,1.106,187,394,13,10,0,5,12
Albert_Pujols,2004,24,STL,NL,154,692,592,133,196,51,2,46,123,5,5,84,52,0.331,0.415,0.657,1.072,173,389,21,7,0,9,12
Albert_Pujols,2005,25,STL,NL,161,700,591,129,195,38,2,41,117,16,2,97,65,0.33,0.43,0.609,1.039,168,360,19,9,0,3,27
Albert_Pujols,2006,26,STL,NL,143,634,535,119,177,33,1,49,137,7,2,92,50,0.331,0.431,0.671,1.102,178,359,20,4,0,3,28
Albert_Pujols,2007,27,STL,NL,158,679,565,99,185,38,1,32,103,2,6,99,58,0.327,0.429,0.568,0.997,157,321,27,7,0,8,22
Albert_Pujols,2008,28,STL,NL,148,641,524,100,187,44,0,37,116,7,3,104,54,0.357,0.462,0.653,1.114,192,342,16,5,0,8,34
Albert_Pujols,2009,29,STL,NL,160,700,568,124,186,45,1,47,135,16,4,115,64,0.327,0.443,0.658,1.101,189,374,23,9,0,8,44
Albert_Pujols,2010,30,STL,NL,159,700,587,115,183,39,1,42,118,14,4,103,76,0.312,0.414,0.596,1.011,173,350,23,4,0,6,38
Albert_Pujols,2011,31,STL,NL,147,651,579,105,173,29,0,37,99,9,1,61,58,0.299,0.366,0.541,0.906,148,313,29,4,0,7,15
Albert_Pujols,2012,32,LAA,AL,154,670,607,85,173,50,0,30,105,8,1,52,76,0.285,0.343,0.516,0.859,138,313,19,5,0,6,16
Albert_Pujols,2013,33,LAA,AL,99,443,391,49,101,19,0,17,64,1,1,40,55,0.258,0.33,0.437,0.767,116,171,18,5,0,7,8
Albert_Pujols,2014,34,LAA,AL,159,695,633,89,172,37,1,28,105,5,1,48,71,0.272,0.324,0.466,0.79,126,295,28,5,0,9,11
Albert_Pujols,2015,35,LAA,AL,157,661,602,85,147,22,0,40,95,5,3,50,72,0.244,0.307,0.48,0.787,118,289,15,6,0,3,10
