
Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
1936 ★,21,NYY,AL,138,669,637,132,206,44,15,29,125,4,0,24,39,.323,.352,.576,.928,128,367,,4,3,,,*O789,ASMVP-8
1937 ★,22,NYY,AL,151,692,621,151,215,35,15,46,167,3,0,64,37,.346,.412,.673,1.085,166,418,,5,2,,,*8O,ASMVP-2
1938 ★,23,NYY,AL,145,660,599,129,194,32,13,32,140,6,1,59,21,.324,.386,.581,.967,139,348,,2,0,,,*8O,ASMVP-6
1939 ★,24,NYY,AL,120,524,462,108,176,32,6,30,126,3,0,52,20,.381,.448,.671,1.119,184,310,11,4,6,,,*8O,ASMVP-1
1940 ★,25,NYY,AL,132,572,508,93,179,28,9,31,133,1,2,61,30,.352,.425,.626,1.051,173,318,16,3,0,,,*8O,ASMVP-3
1941 ★,26,NYY,AL,139,622,541,122,193,43,11,30,125,4,2,76,13,.357,.440,.643,1.083,184,348,6,4,0,,,*8O,ASMVP-1
1942 ★,27,NYY,AL,154,680,610,123,186,29,13,21,114,4,2,68,36,.305,.376,.498,.875,147,304,9,2,0,,,*8O,ASMVP-7
1943,,Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service)
1944,,Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service)
1945,,Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service),Did not play in major or minor leagues (Military Service)
