
Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
1923,20,NYY,AL,13,29,26,6,11,4,1,1,8,0,0,2,5,.423,.464,.769,1.234,218,20,,0,1,,,/3,
1924,21,NYY,AL,10,13,12,2,6,1,0,0,5,0,0,1,3,.500,.538,.583,1.122,189,7,,0,0,,,/3O9,
1925,22,NYY,AL,126,497,437,73,129,23,10,20,68,6,3,46,49,.295,.365,.531,.896,127,232,,2,12,,,*3/O97,MVP-24
1926,23,NYY,AL,155,696,572,135,179,47,20,16,109,6,5,105,73,.313,.420,.549,.969,152,314,,1,18,,,*3,MVP-10
1927,24,NYY,AL,155,717,584,149,218,52,18,47,173,10,8,109,84,.373,.474,.765,1.240,220,447,,3,21,,,*3,MVP-1
1928,25,NYY,AL,154,677,562,139,210,47,13,27,147,4,11,95,69,.374,.467,.648,1.115,193,364,,4,16,,,*3,
1929,26,NYY,AL,154,694,553,127,166,32,10,35,125,4,3,122,68,.300,.431,.584,1.015,165,323,,5,12,,,*3,
1930,27,NYY,AL,154,703,581,143,220,42,17,41,173,12,14,101,63,.379,.473,.721,1.194,203,419,,3,18,,,*3/7O,
1931,28,NYY,AL,155,738,619,163,211,31,15,46,185,17,12,117,56,.341,.446,.662,1.108,194,410,,0,2,,,*3/O9,MVP-2
1932,29,NYY,AL,156,708,596,138,208,42,9,34,151,4,11,108,38,.349,.451,.621,1.072,181,370,,3,1,,,*3,MVP-2
1933 ★,30,NYY,AL,152,687,593,138,198,41,12,32,140,9,13,92,42,.334,.424,.605,1.030,177,359,,1,1,,,*3,ASMVP-4
1934 ★,31,NYY,AL,154,690,579,128,210,40,6,49,166,9,5,109,31,.363,.465,.706,1.172,206,409,,2,0,,,*3/6,ASMVP-5
1935 ★,32,NYY,AL,149,673,535,125,176,26,10,30,120,8,7,132,38,.329,.466,.583,1.049,176,312,,5,0,,,*3,ASMVP-5
1936 ★,33,NYY,AL,155,719,579,167,205,37,7,49,152,3,4,130,46,.354,.478,.696,1.174,190,403,,7,3,,,*3,ASMVP-1
1937 ★,34,NYY,AL,157,700,569,138,200,37,9,37,158,4,3,127,49,.351,.473,.643,1.116,176,366,,4,0,,,*3,ASMVP-4
1938 ★,35,NYY,AL,157,689,576,115,170,32,6,29,114,6,1,107,75,.295,.410,.523,.932,132,301,,5,1,,,*3,ASMVP-19
1939 ★,36,NYY,AL,8,33,28,2,4,0,0,0,1,0,0,5,1,.143,.273,.143,.416,10,4,2,0,0,,,/3,AS
17 Yrs,17 Yrs,17 Yrs,17 Yrs,2164,9663,8001,1888,2721,534,163,493,1995,102,100,1508,790,.340,.447,.632,1.080,179,5060,2,45,106,,,,
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,162,723,599,141,204,40,12,37,149,8,7,113,59,.340,.447,.632,1.080,179,379,,3,8,,,,
,,,,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
