
Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
1951,19,NYY,AL,96,386,341,61,91,11,5,13,65,8,7,43,74,.267,.349,.443,.792,117,151,3,0,2,,,O9/8,
1952 ★,20,NYY,AL,142,626,549,94,171,37,7,23,87,4,1,75,111,.311,.394,.530,.924,162,291,5,0,2,,,*O89/5,ASMVP-3
1953 ★,21,NYY,AL,127,540,461,105,136,24,3,21,92,8,4,79,90,.295,.398,.497,.895,144,229,2,0,0,,,*O8/976,ASMVP-22
1954 ★,22,NYY,AL,146,649,543,129,163,17,12,27,102,5,2,102,107,.300,.408,.525,.933,158,285,3,0,2,4,,*8/649,ASMVP-15
1955 ★,23,NYY,AL,147,638,517,121,158,25,11,37,99,8,1,113,97,.306,.431,.611,1.042,180,316,4,3,2,3,6,*8/6,ASMVP-5
1956 ★,24,NYY,AL,150,652,533,132,188,22,5,52,130,10,1,112,99,.353,.464,.705,1.169,210,376,4,2,1,4,6,*8,ASMVP-1
1957 ★,25,NYY,AL,144,623,474,121,173,28,6,34,94,16,3,146,75,.365,.512,.665,1.177,221,315,5,0,0,3,23,*8,ASMVP-1
1958 ★,26,NYY,AL,150,654,519,127,158,21,1,42,97,18,3,129,120,.304,.443,.592,1.035,188,307,11,2,2,2,13,*8,ASMVP-5
1959 ★,27,NYY,AL,144,640,541,104,154,23,4,31,75,21,3,93,126,.285,.390,.514,.904,151,278,7,2,1,2,6,*8,ASMVP-17
1960 ★,28,NYY,AL,153,643,527,119,145,17,6,40,94,14,3,111,125,.275,.399,.558,.957,162,294,11,1,0,5,6,*8,ASMVP-2
1961 ★,29,NYY,AL,153,646,514,131,163,16,6,54,128,12,1,126,112,.317,.448,.687,1.135,206,353,2,0,1,5,9,*8,ASMVP-2
1962 ★,30,NYY,AL,123,502,377,96,121,15,1,30,89,9,0,122,78,.321,.486,.605,1.091,195,228,4,1,0,2,9,*89,ASMVP-1GG
1963 ★,31,NYY,AL,65,213,172,40,54,8,0,15,35,2,1,40,32,.314,.441,.622,1.063,196,107,5,0,0,1,4,8,AS
1964 ★,32,NYY,AL,143,567,465,92,141,25,2,35,111,6,3,99,102,.303,.423,.591,1.015,177,275,9,0,0,3,18,*879,ASMVP-2
1965 ★,33,NYY,AL,122,435,361,44,92,12,1,19,46,4,1,73,76,.255,.379,.452,.831,137,163,11,0,0,1,7,7,ASMVP-25
1966,34,NYY,AL,108,393,333,40,96,12,1,23,56,1,1,57,76,.288,.389,.538,.927,170,179,9,0,0,3,5,8/7,MVP-19
1967 ★,35,NYY,AL,144,553,440,63,108,17,0,22,55,1,1,107,113,.245,.391,.434,.825,149,191,9,1,0,5,7,*3,AS
1968 ★,36,NYY,AL,144,547,435,57,103,14,1,18,54,6,2,106,97,.237,.385,.398,.782,143,173,9,1,1,4,7,*3,AS
18 Yrs,18 Yrs,18 Yrs,18 Yrs,2401,9907,8102,1676,2415,344,72,536,1509,153,38,1733,1710,.298,.421,.557,.977,172,4511,113,13,14,47,126,,
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,162,668,547,113,163,23,5,36,102,10,3,117,115,.298,.421,.557,.977,172,304,8,1,1,,,,
,,,,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
