
Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
1914,19,BOS,AL,5,10,10,1,2,1,0,0,0,0,0,0,4,.200,.200,.300,.500,49,3,,0,0,,,/1,
1915,20,BOS,AL,42,103,92,16,29,10,1,4,20,0,0,9,23,.315,.376,.576,.952,188,53,,0,2,,,1,
1916,21,BOS,AL,67,152,136,18,37,5,3,3,16,0,,10,23,.272,.322,.419,.741,121,57,,0,4,,,1,
1917,22,BOS,AL,52,142,123,14,40,6,3,2,14,0,,12,18,.325,.385,.472,.857,162,58,,0,7,,,1,
1918,23,BOS,AL,95,382,317,50,95,26,11,11,61,6,,58,58,.300,.411,.555,.966,192,176,,2,3,,,O7138,
1919,24,BOS,AL,130,543,432,103,139,34,12,29,113,7,,101,58,.322,.456,.657,1.114,217,284,,6,3,,,*O71/38,
1920,25,NYY,AL,142,616,458,158,172,36,9,54,135,14,14,150,80,.376,.532,.847,1.379,255,388,,3,5,,,*O978/31,
1921,26,NYY,AL,152,693,540,177,204,44,16,59,168,17,13,145,81,.378,.512,.846,1.359,238,457,,4,4,,,*O78/31,
1922,27,NYY,AL,110,496,406,94,128,24,8,35,96,2,5,84,80,.315,.434,.672,1.106,182,273,,1,4,,,*O79/3,
1923,28,NYY,AL,152,697,522,151,205,45,13,41,130,17,21,170,93,.393,.545,.764,1.309,239,399,,4,3,,,*O97/83,MVP-1
1924,29,NYY,AL,153,681,529,143,200,39,7,46,124,9,13,142,81,.378,.513,.739,1.252,220,391,,4,6,,,*O97/8,
1925,30,NYY,AL,98,426,359,61,104,12,2,25,67,2,4,59,68,.290,.393,.543,.936,137,195,,2,6,,,O97,
1926,31,NYY,AL,152,652,495,139,184,30,5,47,153,11,9,144,76,.372,.516,.737,1.253,225,365,,3,10,,,*O79/3,
1927,32,NYY,AL,151,691,540,158,192,29,8,60,165,7,6,137,89,.356,.486,.772,1.258,225,417,,0,14,,,*O97,
1928,33,NYY,AL,154,684,536,163,173,29,8,54,146,4,5,137,87,.323,.463,.709,1.172,206,380,,3,8,,,*O97,
1929,34,NYY,AL,135,587,499,121,172,26,6,46,154,5,3,72,60,.345,.430,.697,1.128,193,348,,3,13,,,*O97,
1930,35,NYY,AL,145,676,518,150,186,28,9,49,153,10,10,136,61,.359,.493,.732,1.225,211,379,,1,21,,,*O97/1,
1931,36,NYY,AL,145,663,534,149,199,31,3,46,162,5,4,128,51,.373,.495,.700,1.195,218,374,,1,0,,,*O97/3,MVP-5
1932,37,NYY,AL,133,589,457,120,156,13,5,41,137,2,2,130,62,.341,.489,.661,1.150,201,302,,2,0,,,*O97/3,MVP-6
1933 ★,38,NYY,AL,137,576,459,97,138,21,3,34,104,4,5,114,90,.301,.442,.582,1.023,176,267,,2,0,,,*O97/31,AS
1934 ★,39,NYY,AL,125,471,365,78,105,17,4,22,84,1,3,104,63,.288,.448,.537,.985,160,196,,2,0,,,*O97,AS
1935,40,BSN,NL,28,92,72,13,13,0,0,6,12,0,,20,24,.181,.359,.431,.789,119,31,2,0,0,,,O7/9,
22 Yrs,22 Yrs,22 Yrs,22 Yrs,2503,10622,8399,2174,2873,506,136,714,2214,123,117,2062,1330,.342,.474,.690,1.164,206,5793,2,43,113,,,,
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,162,687,544,141,186,33,9,46,143,8,,133,86,.342,.474,.690,1.164,206,375,,3,7,,,,
,,,,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
NYY (15 yrs),NYY (15 yrs),NYY (15 yrs),NYY (15 yrs),2084,9198,7217,1959,2518,424,106,659,1978,110,117,1852,1122,.349,.484,.711,1.195,209,5131,,35,94,,,,
BOS (6 yrs),BOS (6 yrs),BOS (6 yrs),BOS (6 yrs),391,1332,1110,202,342,82,30,49,224,13,0,190,184,.308,.413,.568,.981,190,631,,8,19,,,,
BSN (1 yr),BSN (1 yr),BSN (1 yr),BSN (1 yr),28,92,72,13,13,0,0,6,12,0,,20,24,.181,.359,.431,.789,119,31,2,0,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL (21 yrs),AL (21 yrs),AL (21 yrs),AL (21 yrs),2475,10530,8327,2161,2860,506,136,708,2202,123,117,2042,1306,.343,.475,.692,1.167,207,5762,,43,113,,,,
NL (1 yr),NL (1 yr),NL (1 yr),NL (1 yr),28,92,72,13,13,0,0,6,12,0,,20,24,.181,.359,.431,.789,119,31,2,0,0,,,,
