Player,Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS_plus,TB,GDP,HBP,SH,SF,IBB
Mickey_Mantle,1951,19,NYY,AL,96,386,341,61,91,11,5,13,65,8,7,43,74,0.267,0.349,0.443,0.792,117,151,3,0,2,,
Mickey_Mantle,1952,20,NYY,AL,142,626,549,94,171,37,7,23,87,4,1,75,111,0.311,0.394,0.53,0.924,162,291,5,0,2,,
Mickey_Mantle,1953,21,NYY,AL,127,540,461,105,136,24,3,21,92,8,4,79,90,0.295,0.398,0.497,0.895,144,229,2,0,0,,
Mickey_Mantle,1954,22,NYY,AL,146,649,543,129,163,17,12,27,102,5,2,102,107,0.3,0.408,0.525,0.933,158,285,3,0,2,4,
Mickey_Mantle,1955,23,NYY,AL,147,638,517,121,158,25,11,37,99,8,1,113,97,0.306,0.431,0.611,1.042,180,316,4,3,2,3,6
Mickey_Mantle,1956,24,NYY,AL,150,652,533,132,188,22,5,52,130,10,1,112,99,0.353,0.464,0.705,1.169,210,376,4,2,1,4,6
Mickey_Mantle,1957,25,NYY,AL,144,623,474,121,173,28,6,34,94,16,3,146,75,0.365,0.512,0.665,1.177,221,315,5,0,0,3,23
Mickey_Mantle,1958,26,NYY,AL,150,654,519,127,158,21,1,42,97,18,3,129,120,0.304,0.443,0.592,1.035,188,307,11,2,2,2,13
Mickey_Mantle,1959,27,NYY,AL,144,640,541,104,154,23,4,31,75,21,3,93,126,0.285,0.39,0.514,0.904,151,278,7,2,1,2,6
Mickey_Mantle,1960,28,NYY,AL,153,643,527,119,145,17,6,40,94,14,3,111,125,0.275,0.399,0.558,0.957,162,294,11,1,0,5,6
Mickey_Mantle,1961,29,NYY,AL,153,646,514,131,163,16,6,54,128,12,1,126,112,0.317,0.448,0.687,1.135,206,353,2,0,1,5,9
Mickey_Mantle,1962,30,NYY,AL,123,502,377,96,121,15,1,30,89,9,0,122,78,0.321,0.486,0.605,1.091,195,228,4,1,0,2,9
Mickey_Mantle,1963,31,NYY,AL,65,213,172,40,54,8,0,15,35,2,1,40,32,0.314,0.441,0.622,1.063,196,107,5,0,0,1,4
Mickey_Mantle,1964,32,NYY,AL,143,567,465,92,141,25,2,35,111,6,3,99,102,0.303,0.423,0.591,1.015,177,275,9,0,0,3,18
Mickey_Mantle,1965,33,NYY,AL,122,435,361,44,92,12,1,19,46,4,1,73,76,0.255,0.379,0.452,0.831,137,163,11,0,0,1,7
Mickey_Mantle,1966,34,NYY,AL,108,393,333,40,96,12,1,23,56,1,1,57,76,0.288,0.389,0.538,0.927,170,179,9,0,0,3,5
Mickey_Mantle,1967,35,NYY,AL,144,553,440,63,108,17,0,22,55,1,1,107,113,0.245,0.391,0.434,0.825,149,191,9,1,0,5,7
Mickey_Mantle,1968,36,NYY,AL,144,547,435,57,103,14,1,18,54,6,2,106,97,0.237,0.385,0.398,0.782,143,173,9,1,1,4,7
