Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
1900,19,NYG,NL,0,3,0,5.08,6,1,4,1,0,0,33.2,37,32,19,1,20,,15,4,0,1,157,71,4.46,1.693,9.9,0.3,5.3,4,0.75
1901,20,NYG,NL,20,17,0.541,2.41,40,38,2,36,5,0,336,288,131,90,3,97,,221,13,1,23,1361,138,2.71,1.146,7.7,0.1,2.6,5.9,2.28
1902,21,NYG,NL,14,17,0.452,2.12,35,33,2,30,8,0,284.2,246,118,67,3,77,,164,10,2,17,1142,131,2.57,1.135,7.8,0.1,2.4,5.2,2.13
1903,22,NYG,NL,30,13,0.698,2.26,45,42,3,37,3,2,366.1,321,136,92,4,100,,267,10,0,18,1502,149,2.34,1.149,7.9,0.1,2.5,6.6,2.67
1904,23,NYG,NL,33,12,0.733,2.03,48,46,2,33,4,1,367.2,306,120,83,7,78,,212,4,2,10,1437,133,2.18,1.044,7.5,0.2,1.9,5.2,2.72
1905,24,NYG,NL,31,9,0.775,1.28,43,37,6,32,8,3,338.2,252,85,48,4,64,,206,1,3,6,1294,230,2.03,0.933,6.7,0.1,1.7,5.5,3.22
1906,25,NYG,NL,22,12,0.647,2.97,38,35,3,22,6,1,266.2,262,100,88,3,77,,128,3,0,4,1092,88,2.45,1.271,8.8,0.1,2.6,4.3,1.66
1907,26,NYG,NL,24,12,0.667,2,41,36,4,31,8,2,315,250,88,70,5,53,,178,2,0,5,1235,123,1.78,0.962,7.1,0.1,1.5,5.1,3.36
1908,27,NYG,NL,37,11,0.771,1.43,56,44,9,34,11,5,390.2,281,85,62,5,42,,259,3,0,2,1469,168,1.29,0.827,6.5,0.1,1,6,6.17
1909,28,NYG,NL,25,6,0.806,1.14,37,33,4,26,8,2,275.1,192,57,35,2,36,,149,0,0,4,998,222,1.62,0.828,6.3,0.1,1.2,4.9,4.14
1910,29,NYG,NL,27,9,0.75,1.89,38,35,3,27,2,0,318.1,292,100,67,5,60,,184,3,0,8,1242,157,1.96,1.106,8.3,0.1,1.7,5.2,3.07
1911,30,NYG,NL,26,13,0.667,1.99,45,37,6,29,5,3,307,303,102,68,5,38,,141,1,0,2,1208,167,2.44,1.111,8.9,0.1,1.1,4.1,3.71
1912,31,NYG,NL,23,12,0.657,2.12,43,34,9,27,0,5,310,311,107,73,5,34,,134,2,0,3,1263,161,2.54,1.113,9,0.1,1,3.9,3.94
1913,32,NYG,NL,25,11,0.694,2.06,40,35,5,25,4,2,306,291,94,70,8,21,,93,0,0,3,1195,152,2.49,1.02,8.6,0.2,0.6,2.7,4.43
1914,33,NYG,NL,24,13,0.649,3,41,35,6,29,5,2,312,314,133,104,16,23,,80,2,0,7,1251,88,2.83,1.08,9.1,0.5,0.7,2.3,3.48
1915,34,NYG,NL,8,14,0.364,3.58,27,24,1,11,1,0,186,199,97,74,9,20,,57,1,0,1,768,72,2.76,1.177,9.6,0.4,1,2.8,2.85
1916,35,"NYG,CIN",NL,4,4,0.5,3.01,13,7,4,5,1,2,74.2,74,35,25,4,8,,19,0,0,1,299,83,2.82,1.098,8.9,0.5,1,2.3,2.38
