Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
1925,25,PHA,AL,10,12,0.455,4.75,45,18,12,5,0,1,197,207,120,104,11,131,,116,5,0,9,908,98,4.73,1.716,9.5,0.5,6,5.3,0.89
1926,26,PHA,AL,13,13,0.5,2.51,45,33,9,20,1,6,258,227,97,72,6,101,,194,6,0,5,1072,165,2.96,1.271,7.9,0.2,3.5,6.8,1.92
1927,27,PHA,AL,20,13,0.606,3.19,51,28,18,14,1,9,262.1,251,116,93,6,79,,174,2,1,5,1106,132,2.92,1.258,8.6,0.2,2.7,6,2.2
1928,28,PHA,AL,24,8,0.75,2.58,39,31,6,24,4,3,261.2,228,93,75,10,64,,183,1,0,4,1064,155,2.75,1.116,7.8,0.3,2.2,6.3,2.86
1929,29,PHA,AL,20,6,0.769,2.81,42,37,5,19,2,4,275.1,278,104,86,8,81,,170,3,0,8,1168,149,3.22,1.304,9.1,0.3,2.6,5.6,2.1
1930,30,PHA,AL,28,5,0.848,2.54,50,32,17,22,2,9,291,273,101,82,8,60,,209,5,0,2,1191,185,3.09,1.144,8.4,0.2,1.9,6.5,3.48
1931,31,PHA,AL,31,4,0.886,2.06,41,30,10,27,4,5,288.2,249,84,66,10,62,,175,1,0,2,1160,217,3.01,1.077,7.8,0.3,1.9,5.5,2.82
1932,32,PHA,AL,25,10,0.714,2.84,44,30,13,27,4,7,291.2,269,101,92,13,79,,188,1,0,0,1207,160,3.13,1.193,8.3,0.4,2.4,5.8,2.38
1933,33,PHA,AL,24,8,0.75,3.2,45,28,16,21,2,6,275.1,280,113,98,12,83,,114,4,0,1,1173,134,3.48,1.318,9.2,0.4,2.7,3.7,1.37
1934,34,BOS,AL,8,8,0.5,6.5,22,12,6,5,0,0,109.1,149,84,79,5,32,,43,1,0,1,506,73,3.83,1.655,12.3,0.4,2.6,3.5,1.34
1935,35,BOS,AL,20,12,0.625,2.7,35,30,4,23,2,1,273,269,105,82,6,65,,121,3,0,2,1137,175,3.2,1.223,8.9,0.2,2.1,4,1.86
1936,36,BOS,AL,17,12,0.586,2.81,35,30,3,22,6,2,253.1,237,90,79,14,65,,130,4,0,0,1049,189,3.77,1.192,8.4,0.5,2.3,4.6,2
1937,37,BOS,AL,17,9,0.654,3.02,32,32,0,21,3,0,262,269,101,88,9,83,,153,1,0,5,1127,159,3.28,1.344,9.2,0.3,2.9,5.3,1.84
1938,38,BOS,AL,14,4,0.778,3.08,24,21,3,12,1,1,163.2,169,65,56,8,52,,99,1,0,3,706,160,3.32,1.35,9.3,0.4,2.9,5.4,1.9
1939,39,BOS,AL,15,4,0.789,2.54,23,23,0,17,2,0,191,180,63,54,8,58,,81,1,0,0,798,185,3.6,1.246,8.5,0.4,2.7,3.8,1.4
1940,40,BOS,AL,7,6,0.538,3.99,22,21,1,9,1,0,153.1,159,73,68,20,50,,62,1,0,1,652,112,4.72,1.363,9.3,1.2,2.9,3.6,1.24
1941,41,BOS,AL,7,7,0.5,4.37,21,21,0,10,0,0,134,155,84,65,8,42,,54,2,0,3,598,95,3.62,1.47,10.4,0.5,2.8,3.6,1.29
