Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
1967,22,NYM,NL,16,13,0.552,2.76,35,34,1,18,2,0,251,224,85,77,19,78,6,170,5,0,5,1029,122,3.16,1.203,8,0.7,2.8,6.1,2.18
1968,23,NYM,NL,16,12,0.571,2.2,36,35,1,14,5,1,278,224,73,68,15,48,5,205,8,1,8,1088,137,2.22,0.978,7.3,0.5,1.6,6.6,4.27
1969,24,NYM,NL,25,7,0.781,2.21,36,35,1,18,5,0,273.1,202,75,67,24,82,9,208,7,1,8,1089,165,3.11,1.039,6.7,0.8,2.7,6.8,2.54
1970,25,NYM,NL,18,12,0.6,2.82,37,36,1,19,2,0,290.2,230,103,91,21,83,8,283,4,0,6,1173,143,2.53,1.077,7.1,0.7,2.6,8.8,3.41
1971,26,NYM,NL,20,10,0.667,1.76,36,35,1,21,4,0,286.1,210,61,56,18,61,2,289,4,1,5,1103,194,1.93,0.946,6.6,0.6,1.9,9.1,4.74
1972,27,NYM,NL,21,12,0.636,2.92,35,35,0,13,3,0,262,215,92,85,23,77,2,249,5,0,8,1060,115,2.58,1.115,7.4,0.8,2.6,8.6,3.23
1973,28,NYM,NL,19,10,0.655,2.08,36,36,0,18,3,0,290,219,74,67,23,64,5,251,4,0,5,1147,175,2.57,0.976,6.8,0.7,2,7.8,3.92
1974,29,NYM,NL,11,11,0.5,3.2,32,32,0,12,5,0,236,199,89,84,19,75,10,201,3,2,4,956,112,2.91,1.161,7.6,0.7,2.9,7.7,2.68
1975,30,NYM,NL,22,9,0.71,2.38,36,36,0,15,5,0,280.1,217,81,74,11,88,6,243,4,1,7,1115,146,2.35,1.088,7,0.4,2.8,7.8,2.76
1976,31,NYM,NL,14,11,0.56,2.59,35,34,0,13,5,0,271,211,83,78,14,77,9,235,4,0,12,1079,126,2.47,1.063,7,0.5,2.6,7.8,3.05
1977,32,"NYM,CIN",NL,21,6,0.778,2.58,33,33,0,19,7,0,261.1,199,78,75,19,66,6,196,0,1,7,1031,149,2.94,1.014,6.9,0.7,2.3,6.8,2.97
1978,33,CIN,NL,16,14,0.533,2.88,36,36,0,8,1,0,259.2,218,97,83,26,89,11,226,0,1,6,1075,123,3.17,1.182,7.6,0.9,3.1,7.8,2.54
1979,34,CIN,NL,16,6,0.727,3.14,32,32,0,9,5,0,215,187,85,75,16,61,6,131,0,0,4,868,121,3.33,1.153,7.8,0.7,2.6,5.5,2.15
1980,35,CIN,NL,10,8,0.556,3.64,26,26,0,5,1,0,168,140,74,68,24,59,3,101,1,0,4,692,99,4.48,1.185,7.5,1.3,3.2,5.4,1.71
1981,36,CIN,NL,14,2,0.875,2.54,23,23,0,6,1,0,166.1,120,51,47,10,66,8,87,3,0,5,671,140,3.58,1.118,6.5,0.5,3.6,4.7,1.32
1982,37,CIN,NL,5,13,0.278,5.5,21,21,0,0,0,0,111.1,136,75,68,14,44,4,62,3,0,3,501,67,4.5,1.617,11,1.1,3.6,5,1.41
1983,38,NYM,NL,9,14,0.391,3.55,34,34,0,5,2,0,231,201,104,91,18,86,5,135,4,0,10,962,103,3.77,1.242,7.8,0.7,3.4,5.3,1.57
1984,39,CHW,AL,15,11,0.577,3.95,34,33,1,10,4,0,236.2,216,108,104,27,61,3,131,2,0,5,978,105,3.94,1.17,8.2,1,2.3,5,2.15
1985,40,CHW,AL,16,11,0.593,3.17,35,33,0,6,1,0,238.2,223,103,84,22,69,6,134,8,0,10,993,136,3.73,1.223,8.4,0.8,2.6,5.1,1.94
1986,41,"CHW,BOS",AL,7,13,0.35,4.03,28,28,0,2,0,0,176.1,180,83,79,17,56,2,103,7,0,4,759,106,3.93,1.338,9.2,0.9,2.9,5.3,1.84
