
Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards
1911,24,PHI,NL,28,13,.683,2.57,48,37,11,31,7,3,367.0,285,133,105,5,129,,227,8,1,4,1440,133,2.83,1.128,7.0,0.1,3.2,5.6,1.76,MVP-3
1912,25,PHI,NL,19,17,.528,2.81,46,34,10,25,3,3,310.1,289,133,97,11,105,,195,6,0,5,1290,128,3.13,1.270,8.4,0.3,3.0,5.7,1.86,MVP-22
1913,26,PHI,NL,22,8,.733,2.79,47,36,9,23,9,2,306.1,288,106,95,9,75,,159,3,0,3,1234,118,2.66,1.185,8.5,0.3,2.2,4.7,2.12,
1914,27,PHI,NL,27,15,.643,2.38,46,39,7,32,6,1,355.0,327,133,94,8,76,,214,11,0,1,1459,123,2.26,1.135,8.3,0.2,1.9,5.4,2.82,MVP-10
1915,28,PHI,NL,31,10,.756,1.22,49,42,7,36,12,3,376.1,253,86,51,3,64,,241,10,0,2,1435,225,1.82,0.842,6.1,0.1,1.5,5.8,3.77,
1916,29,PHI,NL,33,12,.733,1.55,48,45,3,38,16,3,389.0,323,90,67,6,50,,167,10,0,3,1500,172,2.12,0.959,7.5,0.1,1.2,3.9,3.34,
1917,30,PHI,NL,30,13,.698,1.83,45,44,0,34,8,0,388.0,336,107,79,4,56,,200,6,0,1,1529,154,1.84,1.010,7.8,0.1,1.3,4.6,3.57,
1918,31,CHC,NL,2,1,.667,1.73,3,3,0,3,0,0,26.0,19,7,5,0,3,,15,1,0,0,98,163,1.54,0.846,6.6,0.0,1.0,5.2,5.00,
1919,32,CHC,NL,16,11,.593,1.72,30,27,3,20,9,1,235.0,180,51,45,3,38,,121,0,0,1,906,166,2.11,0.928,6.9,0.1,1.5,4.6,3.18,
1920,33,CHC,NL,27,14,.659,1.91,46,40,6,33,7,5,363.1,335,96,77,8,69,,173,1,0,3,1447,166,2.66,1.112,8.3,0.2,1.7,4.3,2.51,
1921,34,CHC,NL,15,13,.536,3.39,31,30,1,20,3,1,252.0,286,110,95,10,33,,77,1,0,1,1033,113,3.41,1.266,10.2,0.4,1.2,2.8,2.33,
1922,35,CHC,NL,16,13,.552,3.63,33,31,2,20,1,1,245.2,283,111,99,8,34,,48,3,0,4,1014,115,3.49,1.290,10.4,0.3,1.2,1.8,1.41,
1923,36,CHC,NL,22,12,.647,3.19,39,36,2,26,3,2,305.0,308,128,108,17,30,,72,0,0,2,1246,125,3.48,1.108,9.1,0.5,0.9,2.1,2.40,
1924,37,CHC,NL,12,5,.706,3.03,21,20,0,12,0,0,169.1,183,82,57,9,25,,33,1,0,1,708,128,3.80,1.228,9.7,0.5,1.3,1.8,1.32,MVP-22
1925,38,CHC,NL,15,11,.577,3.39,32,30,1,20,1,0,236.0,270,106,89,15,29,,63,3,0,1,977,128,3.81,1.267,10.3,0.6,1.1,2.4,2.17,
1926,39,TOT,NL,12,10,.545,3.05,30,23,7,15,2,2,200.1,191,83,68,8,31,,47,2,0,0,815,128,3.46,1.108,8.6,0.4,1.4,2.1,1.52,MVP-19
