
Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards
1956,19,BRO,NL,5,5,.500,2.64,25,12,6,2,0,0,99.0,95,35,29,9,31,3,55,3,0,3,413,152,3.47,1.273,8.6,0.8,2.8,5.0,1.77,
1957,20,BRO,NL,17,9,.654,2.69,34,29,4,9,4,0,221.0,197,76,66,17,61,3,148,7,1,3,911,153,3.04,1.167,8.0,0.7,2.5,6.0,2.43,MVP-19
1958,21,LAD,NL,12,13,.480,4.17,44,29,7,6,1,0,211.2,214,107,98,21,72,6,131,14,2,8,913,100,3.75,1.351,9.1,0.9,3.1,5.6,1.82,
1959 ★,22,LAD,NL,17,13,.567,3.46,44,36,7,15,4,2,270.2,237,113,104,26,93,9,242,18,2,4,1142,122,3.23,1.219,7.9,0.9,3.1,8.0,2.60,AS
1960,23,LAD,NL,15,14,.517,2.84,41,36,5,15,5,2,269.0,214,93,85,27,72,5,246,10,0,6,1083,139,2.92,1.063,7.2,0.9,2.4,8.2,3.42,
1961 ★,24,LAD,NL,13,10,.565,3.69,40,37,2,10,3,0,244.0,236,111,100,29,83,15,182,20,1,7,1047,116,3.89,1.307,8.7,1.1,3.1,6.7,2.19,AS
1962 ★,25,LAD,NL,25,9,.735,2.83,43,41,2,19,2,1,314.1,272,122,99,21,78,12,232,11,0,8,1289,128,2.86,1.113,7.8,0.6,2.2,6.6,2.97,ASCYA-1MVP-5
1963 ★,26,LAD,NL,19,17,.528,2.63,42,42,0,17,3,0,315.1,287,114,92,25,57,13,251,10,0,4,1266,114,2.56,1.091,8.2,0.7,1.6,7.2,4.40,ASMVP-21
1964 ★,27,LAD,NL,18,16,.529,2.18,40,40,0,21,5,0,321.1,242,91,78,15,68,9,237,10,1,11,1264,147,2.46,0.965,6.8,0.4,1.9,6.6,3.49,AS
1965 ★,28,LAD,NL,23,12,.657,2.77,44,42,1,20,7,1,308.1,270,113,95,30,66,11,210,12,0,11,1262,118,3.18,1.090,7.9,0.9,1.9,6.1,3.18,ASMVP-5
1966,29,LAD,NL,13,16,.448,3.42,40,40,0,11,3,0,273.2,279,114,104,21,45,8,177,17,1,7,1135,96,2.94,1.184,9.2,0.7,1.5,5.8,3.93,
1967 ★,30,LAD,NL,13,16,.448,2.74,38,38,0,9,3,0,282.0,269,101,86,19,60,19,196,8,2,5,1151,112,2.75,1.167,8.6,0.6,1.9,6.3,3.27,AS
1968 ★,31,LAD,NL,14,12,.538,2.15,31,31,0,12,8,0,239.0,201,68,57,11,56,10,155,12,0,4,954,128,2.54,1.075,7.6,0.4,2.1,5.8,2.77,AS
1969,32,LAD,NL,5,4,.556,4.45,12,12,0,1,1,0,62.2,71,34,31,9,13,0,24,2,0,1,267,75,4.33,1.340,10.2,1.3,1.9,3.4,1.85,
14 Yrs,14 Yrs,14 Yrs,14 Yrs,209,166,.557,2.95,518,465,34,167,49,6,3432.0,3084,1292,1124,280,855,123,2486,154,10,82,14097,121,3.02,1.148,8.1,0.7,2.2,6.5,2.91,
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,14,11,.557,2.95,36,32,2,12,3,0,237,213,89,78,19,59,9,172,11,1,6,975,121,3.02,1.148,8.1,0.7,2.2,6.5,2.91,
