
Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards
1959,23,STL,NL,3,5,.375,3.33,13,9,3,2,1,0,75.2,77,35,28,4,39,2,48,1,0,4,333,127,3.55,1.533,9.2,0.5,4.6,5.7,1.23,
1960,24,STL,NL,3,6,.333,5.61,27,12,3,2,0,0,86.2,97,61,54,7,48,6,69,1,0,3,399,73,3.68,1.673,10.1,0.7,5.0,7.2,1.44,
1961,25,STL,NL,13,12,.520,3.24,35,27,3,10,2,1,211.1,186,91,76,13,119,7,166,6,1,8,916,136,3.58,1.443,7.9,0.6,5.1,7.1,1.40,
1962 ★,26,STL,NL,15,13,.536,2.85,32,30,2,15,5,1,233.2,174,84,74,15,95,9,208,10,0,11,967,151,3.02,1.151,6.7,0.6,3.7,8.0,2.19,AS
1963,27,STL,NL,18,9,.667,3.39,36,33,2,14,2,0,254.2,224,110,96,19,96,1,204,13,1,6,1088,105,3.13,1.257,7.9,0.7,3.4,7.2,2.13,
1964,28,STL,NL,19,12,.613,3.01,40,36,3,17,2,1,287.1,250,106,96,25,86,9,245,9,0,6,1191,127,3.02,1.169,7.8,0.8,2.7,7.7,2.85,MVP-23
1965 ★,29,STL,NL,20,12,.625,3.07,38,36,1,20,6,1,299.0,243,110,102,34,103,6,270,11,1,8,1233,126,3.33,1.157,7.3,1.0,3.1,8.1,2.62,ASGG
1966 ★,30,STL,NL,21,12,.636,2.44,35,35,0,20,5,0,280.1,210,90,76,20,78,5,225,5,0,12,1119,148,2.76,1.027,6.7,0.6,2.5,7.2,2.88,ASGG
1967 ★,31,STL,NL,13,7,.650,2.98,24,24,0,10,2,0,175.1,151,62,58,10,40,3,147,3,1,3,703,110,2.34,1.089,7.8,0.5,2.1,7.5,3.68,ASMVP-22GG
1968 ★,32,STL,NL,22,9,.710,1.12,34,34,0,28,13,0,304.2,198,49,38,11,62,6,268,7,0,4,1161,258,1.77,0.853,5.8,0.3,1.8,7.9,4.32,ASCYA-1MVP-1GG
1969 ★,33,STL,NL,20,13,.606,2.18,35,35,0,28,4,0,314.0,251,84,76,12,95,7,269,10,2,4,1270,164,2.30,1.102,7.2,0.3,2.7,7.7,2.83,ASMVP-30GG
1970 ★,34,STL,NL,23,7,.767,3.12,34,34,0,23,3,0,294.0,262,111,102,13,88,9,274,4,1,5,1213,133,2.29,1.190,8.0,0.4,2.7,8.4,3.11,ASCYA-1MVP-4GG
1971,35,STL,NL,16,13,.552,3.04,31,31,0,20,5,0,245.2,215,96,83,14,76,11,185,7,0,10,1026,119,2.70,1.185,7.9,0.5,2.8,6.8,2.43,CYA-5MVP-23GG
1972 ★,36,STL,NL,19,11,.633,2.46,34,34,0,23,4,0,278.0,226,83,76,14,88,11,208,3,2,10,1119,139,2.54,1.129,7.3,0.5,2.8,6.7,2.36,ASCYA-9GG
1973,37,STL,NL,12,10,.545,2.77,25,25,0,13,1,0,195.0,159,71,60,12,57,6,142,3,1,6,790,133,2.83,1.108,7.3,0.6,2.6,6.6,2.49,GG
1974,38,STL,NL,11,13,.458,3.83,33,33,0,9,1,0,240.0,236,111,102,24,104,14,129,5,3,2,1041,94,4.17,1.417,8.9,0.9,3.9,4.8,1.24,
1975,39,STL,NL,3,10,.231,5.04,22,14,4,1,0,2,109.0,120,66,61,10,62,6,60,4,0,6,499,75,4.50,1.670,9.9,0.8,5.1,5.0,0.97,
17 Yrs,17 Yrs,17 Yrs,17 Yrs,251,174,.591,2.91,528,482,21,255,56,6,3884.1,3279,1420,1258,257,1336,118,3117,102,13,108,16068,127,2.89,1.188,7.6,0.6,3.1,7.2,2.33,
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,17,12,.591,2.91,36,32,1,17,4,0,262,221,96,85,17,90,8,210,7,1,7,1082,127,2.89,1.188,7.6,0.6,3.1,7.2,2.33,
,,,,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards
