
Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards
1925,25,PHA,AL,10,12,.455,4.75,45,18,12,5,0,1,197.0,207,120,104,11,131,,116,5,0,9,908,98,4.73,1.716,9.5,0.5,6.0,5.3,0.89,
1926,26,PHA,AL,13,13,.500,2.51,45,33,9,20,1,6,258.0,227,97,72,6,101,,194,6,0,5,1072,165,2.96,1.271,7.9,0.2,3.5,6.8,1.92,MVP-8
1927,27,PHA,AL,20,13,.606,3.19,51,28,18,14,1,9,262.1,251,116,93,6,79,,174,2,1,5,1106,132,2.92,1.258,8.6,0.2,2.7,6.0,2.20,
1928,28,PHA,AL,24,8,.750,2.58,39,31,6,24,4,3,261.2,228,93,75,10,64,,183,1,0,4,1064,155,2.75,1.116,7.8,0.3,2.2,6.3,2.86,
1929,29,PHA,AL,20,6,.769,2.81,42,37,5,19,2,4,275.1,278,104,86,8,81,,170,3,0,8,1168,149,3.22,1.304,9.1,0.3,2.6,5.6,2.10,
1930,30,PHA,AL,28,5,.848,2.54,50,32,17,22,2,9,291.0,273,101,82,8,60,,209,5,0,2,1191,185,3.09,1.144,8.4,0.2,1.9,6.5,3.48,
1931,31,PHA,AL,31,4,.886,2.06,41,30,10,27,4,5,288.2,249,84,66,10,62,,175,1,0,2,1160,217,3.01,1.077,7.8,0.3,1.9,5.5,2.82,MVP-1
1932,32,PHA,AL,25,10,.714,2.84,44,30,13,27,4,7,291.2,269,101,92,13,79,,188,1,0,0,1207,160,3.13,1.193,8.3,0.4,2.4,5.8,2.38,MVP-14
1933 ★,33,PHA,AL,24,8,.750,3.20,45,28,16,21,2,6,275.1,280,113,98,12,83,,114,4,0,1,1173,134,3.48,1.318,9.2,0.4,2.7,3.7,1.37,ASMVP-5
1934,34,BOS,AL,8,8,.500,6.50,22,12,6,5,0,0,109.1,149,84,79,5,32,,43,1,0,1,506,73,3.83,1.655,12.3,0.4,2.6,3.5,1.34,
1935 ★,35,BOS,AL,20,12,.625,2.70,35,30,4,23,2,1,273.0,269,105,82,6,65,,121,3,0,2,1137,175,3.20,1.223,8.9,0.2,2.1,4.0,1.86,ASMVP-14
1936 ★,36,BOS,AL,17,12,.586,2.81,35,30,3,22,6,2,253.1,237,90,79,14,65,,130,4,0,0,1049,189,3.77,1.192,8.4,0.5,2.3,4.6,2.00,ASMVP-15
1937 ★,37,BOS,AL,17,9,.654,3.02,32,32,0,21,3,0,262.0,269,101,88,9,83,,153,1,0,5,1127,159,3.28,1.344,9.2,0.3,2.9,5.3,1.84,AS
1938 ★,38,BOS,AL,14,4,.778,3.08,24,21,3,12,1,1,163.2,169,65,56,8,52,,99,1,0,3,706,160,3.32,1.350,9.3,0.4,2.9,5.4,1.90,ASMVP-21
1939 ★,39,BOS,AL,15,4,.789,2.54,23,23,0,17,2,0,191.0,180,63,54,8,58,,81,1,0,0,798,185,3.60,1.246,8.5,0.4,2.7,3.8,1.40,ASMVP-15
1940,40,BOS,AL,7,6,.538,3.99,22,21,1,9,1,0,153.1,159,73,68,20,50,,62,1,0,1,652,112,4.72,1.363,9.3,1.2,2.9,3.6,1.24,
1941,41,BOS,AL,7,7,.500,4.37,21,21,0,10,0,0,134.0,155,84,65,8,42,,54,2,0,3,598,95,3.62,1.470,10.4,0.5,2.8,3.6,1.29,
17 Yrs,17 Yrs,17 Yrs,17 Yrs,300,141,.680,3.06,616,457,123,298,35,54,3940.2,3849,1594,1339,162,1187,,2266,42,1,51,16622,148,3.36,1.278,8.8,0.4,2.7,5.2,1.91,
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,19,9,.680,3.06,39,29,8,19,2,3,250,244,101,85,10,75,,144,3,0,3,1053,148,3.36,1.278,8.8,0.4,2.7,5.2,1.91,
,,,,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards
PHA (9 yrs),PHA (9 yrs),PHA (9 yrs),PHA (9 yrs),195,79,.712,2.88,402,267,106,179,20,50,2401.0,2262,929,768,84,740,,1523,28,1,36,10049,151,3.21,1.250,8.5,0.3,2.8,5.7,2.06,
BOS (8 yrs),BOS (8 yrs),BOS (8 yrs),BOS (8 yrs),105,62,.629,3.34,214,190,17,119,15,4,1539.2,1587,665,571,78,447,,743,14,0,15,6573,143,3.60,1.321,9.3,0.5,2.6,4.3,1.66,
