
Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards
1901,25,PHA,AL,17,13,.567,3.31,33,32,1,28,1,0,260.2,254,133,96,3,68,,90,7,0,13,1081,114,3.25,1.235,8.8,0.1,2.3,3.1,1.32,
1902,26,PHA,AL,20,15,.571,3.30,36,32,3,31,1,0,300.0,319,140,110,5,61,,107,18,0,4,1248,111,2.96,1.267,9.6,0.2,1.8,3.2,1.75,
1903,27,PHA,AL,23,16,.590,2.38,43,40,2,33,3,0,336.0,317,128,89,5,65,,176,23,0,8,1363,128,2.68,1.137,8.5,0.1,1.7,4.7,2.71,
1904,28,PHA,AL,26,17,.605,2.17,44,43,1,37,7,0,357.1,311,111,86,2,86,,201,19,0,6,1427,124,2.25,1.111,7.8,0.1,2.2,5.1,2.34,
1905,29,PHA,AL,24,12,.667,2.26,41,41,0,35,4,0,346.2,287,113,87,3,75,,210,24,0,9,1362,117,2.28,1.044,7.5,0.1,1.9,5.5,2.80,
1906,30,PHA,AL,19,6,.760,2.25,26,25,1,21,5,0,211.2,173,70,53,1,51,,108,15,0,1,831,121,2.34,1.058,7.4,0.0,2.2,4.6,2.12,
1907,31,PHA,AL,24,16,.600,2.20,43,40,3,33,8,0,343.2,282,115,84,5,85,,183,17,1,5,1349,118,2.19,1.068,7.4,0.1,2.2,4.8,2.15,
1908,32,PHA,AL,14,16,.467,2.17,34,28,5,21,4,1,244.2,202,71,59,1,46,,135,9,0,7,956,117,1.72,1.014,7.4,0.0,1.7,5.0,2.93,
1909,33,PHA,AL,19,10,.655,1.76,34,33,0,24,3,0,265.1,215,74,52,1,62,,132,8,1,4,1028,138,2.06,1.044,7.3,0.0,2.1,4.5,2.13,
1910,34,PHA,AL,16,10,.615,2.01,38,32,5,22,1,2,250.1,218,89,56,3,55,,123,8,0,5,982,118,2.25,1.091,7.8,0.1,2.0,4.4,2.24,
1911,35,PHA,AL,23,8,.742,2.10,40,30,8,24,6,4,256.2,237,85,60,2,77,,149,14,0,5,1020,149,2.77,1.223,8.3,0.1,2.7,5.2,1.94,
1912,36,PHA,AL,26,6,.813,2.22,37,30,7,23,5,2,259.2,234,90,64,1,83,,110,6,1,5,1044,140,3.08,1.221,8.1,0.0,2.9,3.8,1.33,
1913,37,PHA,AL,18,10,.643,2.60,41,30,9,18,7,4,242.2,211,87,70,3,57,,151,5,2,5,931,107,2.24,1.104,7.8,0.1,2.1,5.6,2.65,
1914,38,PHA,AL,15,7,.682,2.87,34,22,9,12,4,3,185.1,178,68,59,2,42,,110,6,0,4,717,91,2.17,1.187,8.6,0.1,2.0,5.3,2.62,MVP-18
1915,39,SLM,FL,21,11,.656,2.08,42,31,10,23,6,3,268.1,212,75,62,1,54,,147,3,1,4,1028,153,2.00,0.991,7.1,0.0,1.8,4.9,2.72,
1916,40,SLB,AL,16,15,.516,2.33,37,26,9,17,3,3,235.2,203,78,61,2,67,,88,6,0,2,930,117,2.61,1.146,7.8,0.1,2.6,3.4,1.31,
1917,41,SLB,AL,5,6,.455,1.79,20,14,4,8,1,1,131.0,105,39,26,2,38,,26,2,0,1,506,145,2.98,1.092,7.2,0.1,2.6,1.8,0.68,
17 Yrs,17 Yrs,17 Yrs,17 Yrs,326,194,.627,2.35,623,529,77,410,69,23,4495.2,3958,1566,1174,42,1072,,2246,190,6,88,17803,122,2.45,1.119,7.9,0.1,2.1,4.5,2.10,
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,19,11,.627,2.35,37,31,5,24,4,1,265,234,92,69,2,63,,133,11,0,5,1051,122,2.45,1.119,7.9,0.1,2.1,4.5,2.10,
,,,,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards
PHA (14 yrs),PHA (14 yrs),PHA (14 yrs),PHA (14 yrs),284,162,.637,2.39,524,458,54,362,59,16,3860.2,3438,1374,1025,37,913,,1985,179,5,81,15339,120,2.45,1.127,8.0,0.1,2.1,4.6,2.17,
SLB (2 yrs),SLB (2 yrs),SLB (2 yrs),SLB (2 yrs),21,21,.500,2.14,57,40,13,25,4,4,366.2,308,117,87,4,105,,114,8,0,3,1436,125,2.74,1.126,7.6,0.1,2.6,2.8,1.09,
SLM (1 yr),SLM (1 yr),SLM (1 yr),SLM (1 yr),21,11,.656,2.08,42,31,10,23,6,3,268.1,212,75,62,1,54,,147,3,1,4,1028,153,2.00,0.991,7.1,0.0,1.8,4.9,2.72,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL (16 yrs),AL (16 yrs),AL (16 yrs),AL (16 yrs),305,183,.625,2.37,581,498,67,387,63,20,4227.1,3746,1491,1112,41,1018,,2099,187,5,84,16775,121,2.48,1.127,8.0,0.1,2.2,4.5,2.06,
FL (1 yr),FL (1 yr),FL (1 yr),FL (1 yr),21,11,.656,2.08,42,31,10,23,6,3,268.1,212,75,62,1,54,,147,3,1,4,1028,153,2.00,0.991,7.1,0.0,1.8,4.9,2.72,
