
Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards
1890,23,CLV,NL,9,7,.563,3.47,17,16,1,16,0,0,147.2,145,87,57,6,30,,39,8,0,7,621,101,3.69,1.185,8.8,0.4,1.8,2.4,1.30,
1891,24,CLV,NL,27,22,.551,2.85,55,46,8,43,0,2,423.2,431,244,134,4,140,,147,10,0,12,1848,120,3.02,1.348,9.2,0.1,3.0,3.1,1.05,
1892,25,CLV,NL,36,12,.750,1.93,53,49,4,48,9,0,453.0,363,158,97,8,118,,168,8,0,13,1847,176,2.76,1.062,7.2,0.2,2.3,3.3,1.42,
1893,26,CLV,NL,34,16,.680,3.36,53,46,7,42,1,1,422.2,442,230,158,10,103,,102,10,0,14,1806,144,3.87,1.289,9.4,0.2,2.2,2.2,0.99,
1894,27,CLV,NL,26,21,.553,3.94,52,47,5,44,2,1,408.2,488,265,179,19,106,,108,6,0,4,1777,138,4.71,1.454,10.7,0.4,2.3,2.4,1.02,
1895,28,CLV,NL,35,10,.778,3.26,47,40,7,36,4,0,369.2,363,177,134,10,75,,121,8,0,6,1518,152,3.95,1.185,8.8,0.2,1.8,2.9,1.61,
1896,29,CLV,NL,28,15,.651,3.24,51,46,4,42,5,3,414.1,477,214,149,7,62,,140,11,0,10,1739,140,3.36,1.301,10.4,0.2,1.3,3.0,2.26,
1897,30,CLV,NL,21,19,.525,3.78,46,38,7,35,2,0,335.2,391,189,141,7,49,,88,9,0,14,1413,123,3.58,1.311,10.5,0.2,1.3,2.4,1.80,
1898,31,CLV,NL,25,13,.658,2.53,46,41,5,40,1,0,377.2,387,167,106,6,41,,101,9,0,9,1520,136,2.84,1.133,9.2,0.1,1.0,2.4,2.46,
1899,32,STL,NL,26,16,.619,2.58,44,42,2,40,4,1,369.1,368,173,106,10,44,,111,6,1,6,1468,154,3.10,1.116,9.0,0.2,1.1,2.7,2.52,
1900,33,STL,NL,19,19,.500,3.00,41,35,6,32,4,0,321.1,337,144,107,7,36,,115,3,1,7,1291,121,2.76,1.161,9.4,0.2,1.0,3.2,3.19,
1901,34,BOS,AL,33,10,.767,1.62,43,41,2,38,5,0,371.1,324,112,67,6,37,,158,7,0,2,1440,219,2.64,0.972,7.9,0.1,0.9,3.8,4.27,
1902,35,BOS,AL,32,11,.744,2.15,45,43,1,41,3,0,384.2,350,136,92,6,53,,160,13,0,3,1506,164,2.55,1.048,8.2,0.1,1.2,3.7,3.02,
1903,36,BOS,AL,28,9,.757,2.08,40,35,5,34,7,2,341.2,294,115,79,6,37,,176,9,0,5,1314,145,2.35,0.969,7.7,0.2,1.0,4.6,4.76,
1904,37,BOS,AL,26,16,.619,1.97,43,41,2,40,10,1,380.0,327,104,83,6,29,,200,4,0,4,1435,136,1.83,0.937,7.7,0.1,0.7,4.7,6.90,
1905,38,BOS,AL,18,19,.486,1.82,38,33,5,31,4,0,320.2,248,99,65,3,30,,210,8,0,6,1189,147,1.69,0.867,7.0,0.1,0.8,5.9,7.00,
1906,39,BOS,AL,13,21,.382,3.19,39,34,4,28,0,2,287.2,288,137,102,3,25,,140,8,1,5,1126,86,1.87,1.088,9.0,0.1,0.8,4.4,5.60,
1907,40,BOS,AL,21,15,.583,1.99,43,37,5,33,6,2,343.1,286,101,76,3,51,,147,7,0,6,1308,129,1.94,0.982,7.5,0.1,1.3,3.9,2.88,
1908,41,BOS,AL,21,11,.656,1.26,36,33,3,30,3,2,299.0,230,68,42,1,37,,150,1,0,4,1116,193,1.52,0.893,6.9,0.0,1.1,4.5,4.05,
1909,42,CLE,AL,19,15,.559,2.26,35,34,1,30,3,0,294.1,267,110,74,4,59,,109,8,0,6,1137,114,2.34,1.108,8.2,0.1,1.8,3.3,1.85,
1910,43,CLE,AL,7,10,.412,2.53,21,20,0,14,1,0,163.1,149,62,46,0,27,,58,4,0,7,623,103,2.18,1.078,8.2,0.0,1.5,3.2,2.15,
1911,44,TOT,MLB,7,9,.438,3.78,18,18,0,12,2,0,126.1,137,75,53,6,28,,55,4,0,6,523,97,3.27,1.306,9.8,0.4,2.0,3.9,1.96,
1911,44,CLE,AL,3,4,.429,3.88,7,7,0,4,0,0,46.1,54,28,20,2,13,,20,1,0,1,195,89,3.37,1.446,10.5,0.4,2.5,3.9,1.54,
1911,44,BSN,NL,4,5,.444,3.71,11,11,0,8,2,0,80.0,83,47,33,4,15,,35,3,0,5,328,102,3.22,1.225,9.3,0.5,1.7,3.9,2.33,
22 Yrs,22 Yrs,22 Yrs,22 Yrs,511,316,.618,2.63,906,815,84,749,76,17,7356.0,7092,3167,2147,138,1217,,2803,161,3,156,29565,138,2.84,1.130,8.7,0.2,1.5,3.4,2.30,
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,20,12,.618,2.63,36,32,3,30,3,1,291,280,125,85,5,48,,111,6,0,6,1168,138,2.84,1.130,8.7,0.2,1.5,3.4,2.30,
,,,,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards
CLV (9 yrs),CLV (9 yrs),CLV (9 yrs),CLV (9 yrs),241,135,.641,3.10,420,369,48,346,24,7,3353.0,3487,1731,1155,77,724,,1014,79,0,89,14089,138,3.51,1.256,9.4,0.2,1.9,2.7,1.40,
BOS (8 yrs),BOS (8 yrs),BOS (8 yrs),BOS (8 yrs),192,112,.632,2.00,327,297,27,275,38,9,2728.1,2347,872,606,34,299,,1341,57,1,35,10434,147,2.08,0.970,7.7,0.1,1.0,4.4,4.48,
CLE (3 yrs),CLE (3 yrs),CLE (3 yrs),CLE (3 yrs),29,29,.500,2.50,63,61,1,48,4,0,504.0,470,200,140,6,99,,187,13,0,14,1955,107,2.38,1.129,8.4,0.1,1.8,3.3,1.89,
STL (2 yrs),STL (2 yrs),STL (2 yrs),STL (2 yrs),45,35,.563,2.78,85,77,8,72,8,1,690.2,705,317,213,17,80,,226,9,2,13,2759,137,2.94,1.137,9.2,0.2,1.0,2.9,2.83,
BSN (1 yr),BSN (1 yr),BSN (1 yr),BSN (1 yr),4,5,.444,3.71,11,11,0,8,2,0,80.0,83,47,33,4,15,,35,3,0,5,328,102,3.22,1.225,9.3,0.5,1.7,3.9,2.33,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NL (12 yrs),NL (12 yrs),NL (12 yrs),NL (12 yrs),290,175,.624,3.06,516,457,56,426,34,8,4123.2,4275,2095,1401,98,819,,1275,91,2,107,17176,137,3.41,1.235,9.3,0.2,1.8,2.8,1.56,
