Player,Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,,,,,
Pete_Alexander,20 Yrs,20 Yrs,20 Yrs,20 Yrs,373,208,0.642,2.56,696,600,81,436,90,32,5190,4868,1852,1476,165,951,,2198,70,1,38,20893,135,2.88,1.121,8.4,0.3,1.6,3.8,2.31,,,,,
Roger_Clemens,24 Yrs,24 Yrs,24 Yrs,24 Yrs,354,184,0.658,3.12,709,707,0,118,46,0,4916.2,4185,1885,1707,363,1580,63,4672,159,20,143,20240,143,3.09,1.173,7.7,0.7,2.9,8.6,2.96,,,,,
Don_Drysdale,14 Yrs,14 Yrs,14 Yrs,14 Yrs,209,166,0.557,2.95,518,465,34,167,49,6,3432,3084,1292,1124,280,855,123,2486,154,10,82,14097,121,3.02,1.148,8.1,0.7,2.2,6.5,2.91,,,,,
Bob_Gibson,17 Yrs,17 Yrs,17 Yrs,17 Yrs,251,174,0.591,2.91,528,482,21,255,56,6,3884.1,3279,1420,1258,257,1336,118,3117,102,13,108,16068,127,2.89,1.188,7.6,0.6,3.1,7.2,2.33,,,,,
Lefty_Grove,17 Yrs,17 Yrs,17 Yrs,17 Yrs,300,141,0.68,3.06,616,457,123,298,35,54,3940.2,3849,1594,1339,162,1187,,2266,42,1,51,16622,148,3.36,1.278,8.8,0.4,2.7,5.2,1.91,,,,,
Walter_Johnson,21 Yrs,21 Yrs,21 Yrs,21 Yrs,417,279,0.599,2.17,802,666,127,531,110,34,5914.1,4913,1902,1424,97,1363,,3509,205,4,154,23405,147,2.42,1.061,7.5,0.1,2.1,5.3,2.57,,,,,
Christy_Mathewson,17 Yrs,17 Yrs,17 Yrs,17 Yrs,373,188,0.665,2.13,636,552,73,435,79,30,4788.2,4219,1620,1135,89,848,,2507,59,8,115,18913,135,2.26,1.058,7.9,0.2,1.6,4.7,2.96,,,,,
Eddie_Plank,17 Yrs,17 Yrs,17 Yrs,17 Yrs,326,194,0.627,2.35,623,529,77,410,69,23,4495.2,3958,1566,1174,42,1072,,2246,190,6,88,17803,122,2.45,1.119,7.9,0.1,2.1,4.5,2.1,,,,,
Tom_Seaver,20 Yrs,20 Yrs,20 Yrs,20 Yrs,311,205,0.603,2.86,656,647,6,231,61,1,4783,3971,1674,1521,380,1390,116,3640,76,8,126,19369,127,3.04,1.121,7.5,0.7,2.6,6.8,2.62,,,,,
Cy_Young,22 Yrs,22 Yrs,22 Yrs,22 Yrs,511,316,0.618,2.63,906,815,84,749,76,17,7356,7092,3167,2147,138,1217,,2803,161,3,156,29565,138,2.84,1.13,8.7,0.2,1.5,3.4,2.3,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player,Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards,,,,
Pete_Alexander,162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,20,11,0.642,2.56,37,31,4,23,5,2,272,255,97,77,9,50,,115,4,0,2,1096,135,2.88,1.121,8.4,0.3,1.6,3.8,2.31,,,,,
Roger_Clemens,162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,17,9,0.658,3.12,34,34,0,6,2,0,236,201,91,82,17,76,3,224,8,1,7,972,143,3.09,1.173,7.7,0.7,2.9,8.6,2.96,,,,,
Don_Drysdale,162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,14,11,0.557,2.95,36,32,2,12,3,0,237,213,89,78,19,59,9,172,11,1,6,975,121,3.02,1.148,8.1,0.7,2.2,6.5,2.91,,,,,
Bob_Gibson,162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,17,12,0.591,2.91,36,32,1,17,4,0,262,221,96,85,17,90,8,210,7,1,7,1082,127,2.89,1.188,7.6,0.6,3.1,7.2,2.33,,,,,
Lefty_Grove,162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,19,9,0.68,3.06,39,29,8,19,2,3,250,244,101,85,10,75,,144,3,0,3,1053,148,3.36,1.278,8.8,0.4,2.7,5.2,1.91,,,,,
Walter_Johnson,162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,19,13,0.599,2.17,37,31,6,25,5,2,274,228,88,66,4,63,,163,9,0,7,1084,147,2.42,1.061,7.5,0.1,2.1,5.3,2.57,,,,,
Christy_Mathewson,162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,21,11,0.665,2.13,36,32,4,25,5,2,274,241,93,65,5,49,,143,3,0,7,1083,135,2.26,1.058,7.9,0.2,1.6,4.7,2.96,,,,,
Eddie_Plank,162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,19,11,0.627,2.35,37,31,5,24,4,1,265,234,92,69,2,63,,133,11,0,5,1051,122,2.45,1.119,7.9,0.1,2.1,4.5,2.1,,,,,
Tom_Seaver,162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,16,11,0.603,2.86,34,34,0,12,3,0,250,207,87,79,20,73,6,190,4,0,7,1011,127,3.04,1.121,7.5,0.7,2.6,6.8,2.62,,,,,
Cy_Young,162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,20,12,0.618,2.63,36,32,3,30,3,1,291,280,125,85,5,48,,111,6,0,6,1168,138,2.84,1.13,8.7,0.2,1.5,3.4,2.3,,,,,
